2020-03-20 00:19:04.038 | main | INFO  | o.s.b.StartupInfoLogger:StartupInfoLogger.java(55) | Starting PingfenApplication on yu-PC with PID 12668 (C:\Users\Administrator\Desktop\pingfen\target\classes started by Administrator in C:\Users\Administrator\Desktop\pingfen)
2020-03-20 00:19:04.043 | main | INFO  | o.s.b.SpringApplication:SpringApplication.java(651) | No active profile set, falling back to default profiles: default
2020-03-20 00:19:05.459 | main | INFO  | o.s.b.w.e.t.TomcatWebServer:TomcatWebServer.java(92) | Tomcat initialized with port(s): 8080 (http)
2020-03-20 00:19:05.469 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Initializing ProtocolHandler ["http-nio-8080"]
2020-03-20 00:19:05.470 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Starting service [Tomcat]
2020-03-20 00:19:05.471 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-03-20 00:19:05.562 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Initializing Spring embedded WebApplicationContext
2020-03-20 00:19:05.563 | main | INFO  | o.s.b.w.s.c.ServletWebServerApplicationContext:ServletWebServerApplicationContext.java(284) | Root WebApplicationContext: initialization completed in 1463 ms
2020-03-20 00:19:05.865 | main | WARN  | o.s.s.a.i.AbstractSecurityInterceptor:AbstractSecurityInterceptor.java(159) | Could not validate configuration attributes as the SecurityMetadataSource did not return any attributes from getAllConfigAttributes()
2020-03-20 00:19:05.873 | main | WARN  | o.s.s.a.i.AbstractSecurityInterceptor:AbstractSecurityInterceptor.java(159) | Could not validate configuration attributes as the SecurityMetadataSource did not return any attributes from getAllConfigAttributes()
2020-03-20 00:19:06.091 | main | INFO  | o.s.s.w.DefaultSecurityFilterChain:DefaultSecurityFilterChain.java(43) | Creating filter chain: Ant [pattern='/css/**'], []
2020-03-20 00:19:06.121 | main | INFO  | o.s.s.w.DefaultSecurityFilterChain:DefaultSecurityFilterChain.java(43) | Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3bdb2c78, org.springframework.security.web.context.SecurityContextPersistenceFilter@11ebb1b6, org.springframework.security.web.header.HeaderWriterFilter@5d5b5fa7, org.springframework.security.web.authentication.logout.LogoutFilter@7cb8437d, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2416498e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@f3021cb, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@431f1eaf, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@64693226, org.springframework.security.web.session.SessionManagementFilter@6107165, org.springframework.security.web.access.ExceptionTranslationFilter@64fc097e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4e73b552]
2020-03-20 00:19:06.241 | main | INFO  | o.s.s.c.ExecutorConfigurationSupport:ExecutorConfigurationSupport.java(171) | Initializing ExecutorService 'applicationTaskExecutor'
2020-03-20 00:19:06.468 | main | INFO  | o.s.b.a.w.s.WelcomePageHandlerMapping:WelcomePageHandlerMapping.java(58) | Adding welcome page template: index
2020-03-20 00:19:06.618 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Starting ProtocolHandler ["http-nio-8080"]
2020-03-20 00:19:06.661 | main | INFO  | o.s.b.w.e.t.TomcatWebServer:TomcatWebServer.java(204) | Tomcat started on port(s): 8080 (http) with context path ''
2020-03-20 00:19:06.665 | main | INFO  | o.s.b.StartupInfoLogger:StartupInfoLogger.java(61) | Started PingfenApplication in 3.322 seconds (JVM running for 4.183)
2020-03-20 00:30:32.699 | RMI TCP Connection(2)-127.0.0.1 | INFO  | o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin:SpringApplicationAdminMXBeanRegistrar.java(159) | Application shutdown requested.
2020-03-20 00:30:32.703 | RMI TCP Connection(2)-127.0.0.1 | INFO  | o.s.s.c.ExecutorConfigurationSupport:ExecutorConfigurationSupport.java(208) | Shutting down ExecutorService 'applicationTaskExecutor'
2020-03-20 23:34:10.975 | main | INFO  | o.s.b.StartupInfoLogger:StartupInfoLogger.java(55) | Starting PingfenApplication on yu-PC with PID 6488 (C:\Users\Administrator\Desktop\pingfen\target\classes started by Administrator in C:\Users\Administrator\Desktop\pingfen)
2020-03-20 23:34:10.991 | main | INFO  | o.s.b.SpringApplication:SpringApplication.java(651) | No active profile set, falling back to default profiles: default
2020-03-20 23:34:16.130 | main | INFO  | o.s.b.w.e.t.TomcatWebServer:TomcatWebServer.java(92) | Tomcat initialized with port(s): 8080 (http)
2020-03-20 23:34:16.220 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Initializing ProtocolHandler ["http-nio-8080"]
2020-03-20 23:34:16.224 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Starting service [Tomcat]
2020-03-20 23:34:16.226 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-03-20 23:34:16.796 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Initializing Spring embedded WebApplicationContext
2020-03-20 23:34:16.797 | main | INFO  | o.s.b.w.s.c.ServletWebServerApplicationContext:ServletWebServerApplicationContext.java(284) | Root WebApplicationContext: initialization completed in 5541 ms
2020-03-20 23:34:17.385 | main | WARN  | o.s.s.a.i.AbstractSecurityInterceptor:AbstractSecurityInterceptor.java(159) | Could not validate configuration attributes as the SecurityMetadataSource did not return any attributes from getAllConfigAttributes()
2020-03-20 23:34:17.393 | main | WARN  | o.s.s.a.i.AbstractSecurityInterceptor:AbstractSecurityInterceptor.java(159) | Could not validate configuration attributes as the SecurityMetadataSource did not return any attributes from getAllConfigAttributes()
2020-03-20 23:34:17.807 | main | INFO  | o.s.s.w.DefaultSecurityFilterChain:DefaultSecurityFilterChain.java(43) | Creating filter chain: Ant [pattern='/css/**'], []
2020-03-20 23:34:17.864 | main | INFO  | o.s.s.w.DefaultSecurityFilterChain:DefaultSecurityFilterChain.java(43) | Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@387bf2d9, org.springframework.security.web.context.SecurityContextPersistenceFilter@42210be1, org.springframework.security.web.header.HeaderWriterFilter@730e5763, org.springframework.security.web.authentication.logout.LogoutFilter@53dad875, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1a891add, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2babf189, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@c3177d5, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@74aa9c72, org.springframework.security.web.session.SessionManagementFilter@19058533, org.springframework.security.web.access.ExceptionTranslationFilter@69e05f61, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3a5c2626]
2020-03-20 23:34:18.115 | main | INFO  | o.s.s.c.ExecutorConfigurationSupport:ExecutorConfigurationSupport.java(171) | Initializing ExecutorService 'applicationTaskExecutor'
2020-03-20 23:34:18.456 | main | INFO  | o.s.b.a.w.s.WelcomePageHandlerMapping:WelcomePageHandlerMapping.java(58) | Adding welcome page template: index
2020-03-20 23:34:18.760 | main | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Starting ProtocolHandler ["http-nio-8080"]
2020-03-20 23:34:18.854 | main | INFO  | o.s.b.w.e.t.TomcatWebServer:TomcatWebServer.java(204) | Tomcat started on port(s): 8080 (http) with context path ''
2020-03-20 23:34:18.858 | main | INFO  | o.s.b.StartupInfoLogger:StartupInfoLogger.java(61) | Started PingfenApplication in 9.952 seconds (JVM running for 11.91)
2020-03-20 23:48:06.810 | http-nio-8080-exec-1 | INFO  | o.a.j.l.DirectJDKLog:DirectJDKLog.java(173) | Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-03-20 23:48:06.813 | http-nio-8080-exec-1 | INFO  | o.s.w.s.FrameworkServlet:FrameworkServlet.java(525) | Initializing Servlet 'dispatcherServlet'
2020-03-20 23:48:06.837 | http-nio-8080-exec-1 | INFO  | o.s.w.s.FrameworkServlet:FrameworkServlet.java(547) | Completed initialization in 23 ms
2020-03-20 23:48:07.273 | http-nio-8080-exec-3 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/login]
2020-03-20 23:48:07.277 | http-nio-8080-exec-3 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/login]
2020-03-20 23:48:08.982 | http-nio-8080-exec-4 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/vue/index.css]
2020-03-20 23:48:09.055 | http-nio-8080-exec-5 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/vue/login.css]
2020-03-20 23:48:09.056 | http-nio-8080-exec-6 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/vue/vue.js]
2020-03-20 23:48:09.059 | http-nio-8080-exec-8 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/vue/axios.min.js]
2020-03-20 23:48:09.059 | http-nio-8080-exec-7 | INFO  | c.q.p.c.VFilterInvocationSecurityMetadataSource:VFilterInvocationSecurityMetadataSource.java(33) | VFilterInvocationSecurityMetadataSource getAttributes [requestUrl=/vue/index.js]
