2020-03-28 16:58:02.988 [main] INFO  cn.qianshu.pingfen.PingfenApplication - Starting PingfenApplication on yu-PC with PID 8784 (C:\Users\Administrator\Desktop\pingfen\target\classes started by Administrator in C:\Users\Administrator\Desktop\pingfen)
2020-03-28 16:58:02.992 [main] INFO  cn.qianshu.pingfen.PingfenApplication - No active profile set, falling back to default profiles: default
2020-03-28 16:58:04.291 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-03-28 16:58:04.300 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-03-28 16:58:04.301 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-03-28 16:58:04.302 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-03-28 16:58:04.386 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-03-28 16:58:04.387 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1348 ms
2020-03-28 16:58:04.650 [main] WARN  c.q.pingfen.config.VFilterSecurityInterceptor - Could not validate configuration attributes as the SecurityMetadataSource did not return any attributes from getAllConfigAttributes()
2020-03-28 16:58:04.657 [main] WARN  c.q.pingfen.config.VFilterSecurityInterceptor - Could not validate configuration attributes as the SecurityMetadataSource did not return any attributes from getAllConfigAttributes()
2020-03-28 16:58:04.906 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/css/**'], []
2020-03-28 16:58:04.937 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4a23350, org.springframework.security.web.context.SecurityContextPersistenceFilter@36fcf6c0, org.springframework.security.web.header.HeaderWriterFilter@6ea04618, org.springframework.security.web.authentication.logout.LogoutFilter@38320e34, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4da9f723, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7026b7ee, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1ac45389, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7b78ed6a, org.springframework.security.web.session.SessionManagementFilter@56078cea, org.springframework.security.web.access.ExceptionTranslationFilter@58ec7116, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3d49fd31]
2020-03-28 16:58:05.170 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-03-28 16:58:05.237 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-03-28 16:58:05.393 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-03-28 16:58:05.417 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-03-28 16:58:05.421 [main] INFO  cn.qianshu.pingfen.PingfenApplication - Started PingfenApplication in 2.95 seconds (JVM running for 3.618)
