2020-03-28 16:40:28.203 [main] INFO  cn.qianshu.pingfen.PingfenApplication - Starting PingfenApplication on yu-PC with PID 7044 (C:\Users\Administrator\Desktop\pingfen\target\classes started by Administrator in C:\Users\Administrator\Desktop\pingfen)
2020-03-28 16:40:28.236 [main] INFO  cn.qianshu.pingfen.PingfenApplication - No active profile set, falling back to default profiles: default
2020-03-28 16:40:32.644 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-03-28 16:40:32.723 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-03-28 16:40:32.723 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-03-28 16:40:32.723 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-03-28 16:40:32.967 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-03-28 16:40:32.967 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4490 ms
2020-03-28 16:40:33.860 [main] WARN  c.q.pingfen.config.VFilterSecurityInterceptor - Could not validate configuration attributes as the SecurityMetadataSource did not return any attributes from getAllConfigAttributes()
2020-03-28 16:40:33.860 [main] WARN  c.q.pingfen.config.VFilterSecurityInterceptor - Could not validate configuration attributes as the SecurityMetadataSource did not return any attributes from getAllConfigAttributes()
2020-03-28 16:40:34.361 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/css/**'], []
2020-03-28 16:40:34.397 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4cc65c2, org.springframework.security.web.context.SecurityContextPersistenceFilter@66383c29, org.springframework.security.web.header.HeaderWriterFilter@461c3709, org.springframework.security.web.authentication.logout.LogoutFilter@5974b7e8, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@73041b7d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5d152bcd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6f8e9d06, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@574059d5, org.springframework.security.web.session.SessionManagementFilter@3f63a513, org.springframework.security.web.access.ExceptionTranslationFilter@40ef0af8, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7e1ffe70]
2020-03-28 16:40:34.739 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-03-28 16:40:34.859 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-03-28 16:40:35.197 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-03-28 16:40:35.292 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-03-28 16:40:35.292 [main] INFO  cn.qianshu.pingfen.PingfenApplication - Started PingfenApplication in 12.465 seconds (JVM running for 22.892)
